Date : 2023-08-19 12:21:56
Directory : c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src
Total : 321 files,  33121 codes, 2483 comments, 3670 blanks, all 39274 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\workflowCard\WorkflowCard.jsx                                                                       | JavaScript JSX |        271 |          1 |         16 |        288 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\hoverCard\workflowCard\workflowCard.module.css                                                                | CSS            |         54 |          1 |         11 |         66 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\iFrame\Iframe.jsx                                                                                             | JavaScript JSX |         28 |          0 |          5 |         33 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\InfoBox.jsx                                                                                           | JavaScript JSX |        540 |         12 |         31 |        583 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\TypeFilter.jsx                                                                                        | JavaScript JSX |        171 |          4 |         18 |        193 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\infoBox.module.css                                                                                    | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\styledComponents.js                                                                                   | JavaScript     |         87 |          8 |          9 |        104 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\infoBox\typefilter.css                                                                                        | CSS            |         64 |          0 |         13 |         77 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\customerSupport\CustomerSupport.jsx                                                               | JavaScript JSX |         88 |          0 |          6 |         94 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\customerSupport\customerSupport.module.css                                                        | CSS            |        133 |         17 |         19 |        169 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\customerSupport\swiper.css                                                                        | CSS            |         17 |          0 |          4 |         21 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\handleTasks\HandleTasks.jsx                                                                       | JavaScript JSX |        170 |          3 |         15 |        188 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\landingPage\handleTasks\handleTasks.module.css                                                                | CSS            |         71 |          0 |         15 |         86 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\ManageFiles.jsx                                                                                   | JavaScript JSX |         61 |         12 |          6 |         79 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\ProcessDetail\ProcessDetail.js                                                                    | JavaScript     |        140 |          9 |         21 |        170 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\ProcessDetail\ProcessDetail.module.css                                                            | CSS            |        192 |          2 |         28 |        222 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\documents\createDocument\CreateDocument.jsx                                                 | JavaScript JSX |        151 |          3 |         20 |        174 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\documents\createDocument\createDocument.module.css                                          | CSS            |        106 |         11 |         14 |        131 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\workflows\createWorkflows\CreateWorkflow.jsx                                                | JavaScript JSX |        255 |          1 |         31 |        287 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\workflows\createWorkflows\createWorkflow.module.css                                         | CSS            |         51 |         51 |         11 |        113 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\workflows\createWorkflows\stepTable\StepTable.jsx                                           | JavaScript JSX |         70 |          0 |          5 |         75 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\files\workflows\createWorkflows\stepTable\stepTable.module.css                                    | CSS            |         58 |          0 |          8 |         66 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\manageFiles.module.css                                                                            | CSS            |         76 |          1 |         10 |         87 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\overlay\Overlay.jsx                                                                               | JavaScript JSX |         21 |          0 |          4 |         25 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\overlay\overlay.module.css                                                                        | CSS            |         77 |          2 |         14 |         93 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\sectionBox\SectionBox.jsx                                                                         | JavaScript JSX |        493 |         16 |         31 |        540 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\manageFiles\sectionBox\sectionBox.module.css                                                                  | CSS            |         41 |          9 |          9 |         59 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\EditTeamModal.jsx                                                                                       | JavaScript JSX |        273 |          8 |         22 |        303 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\NameChangeModal.jsx                                                                                     | JavaScript JSX |         45 |          0 |          5 |         50 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\TeamModal.jsx                                                                                           | JavaScript JSX |        117 |          1 |         21 |        139 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\editTeamModal.css                                                                                       | CSS            |        146 |          2 |         23 |        171 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\modal\nameChangeModal.css                                                                                     | CSS            |         65 |          0 |         10 |         75 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\Sidebar.jsx                                                                                        | JavaScript JSX |        377 |         60 |         29 |        466 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\collapseItem\CollapseItem.jsx                                                                      | JavaScript JSX |        177 |          0 |         14 |        191 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\collapseItem\collapseItem.module.css                                                               | CSS            |         46 |          0 |          9 |         55 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\footer\Footer.jsx                                                                                  | JavaScript JSX |         27 |          0 |          5 |         32 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\footer\footer.module.css                                                                           | CSS            |         35 |          0 |          7 |         42 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\manageFile\ManageFile.jsx                                                                          | JavaScript JSX |        291 |         44 |         18 |        353 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\manageFile\ProcessDetailModal\ProcessDetailModail.jsx                                              | JavaScript JSX |        113 |          0 |          7 |        120 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\manageFile\ProcessDetailModal\ProcessDetailModal.css                                               | CSS            |         45 |          0 |          8 |         53 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\manageFile\manageFile.module.css                                                                   | CSS            |         13 |          0 |          1 |         14 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\new\New.jsx                                                                                        | JavaScript JSX |        116 |          1 |         11 |        128 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\new\new.module.css                                                                                 | CSS            |         50 |          0 |          8 |         58 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\notifications\Notifications.jsx                                                                    | JavaScript JSX |        141 |          1 |         11 |        153 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\notifications\notification.module.css                                                              | CSS            |         23 |          0 |          3 |         26 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\reports\Reports.jsx                                                                                | JavaScript JSX |        153 |         88 |         14 |        255 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\search\Search.jsx                                                                                  | JavaScript JSX |        213 |          1 |         21 |        235 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\search\search.module.css                                                                           | CSS            |        126 |          1 |         17 |        144 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\sidebar.module.css                                                                                 | CSS            |        172 |          3 |         27 |        202 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\userDetail\UserDetail.jsx                                                                          | JavaScript JSX |         54 |          0 |          6 |         60 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\userDetail\userDetail.module.css                                                                   | CSS            |         45 |          0 |          6 |         51 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\progressBar\ProgressBar.jsx                                                                                   | JavaScript JSX |         35 |          0 |          9 |         44 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\progressBar\style.css                                                                                         | CSS            |         12 |          0 |          1 |         13 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\SetWorkflowInDoc.jsx                                                                      | JavaScript JSX |        296 |          7 |         30 |        333 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\assignButton\AssignButton.jsx                                                             | JavaScript JSX |         22 |          0 |          3 |         25 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contentMapOfDoc\ContentMapOfDoc.jsx                                                       | JavaScript JSX |         76 |         15 |         15 |        106 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contentMapOfDoc\contentMapOfDoc.module.css                                                | CSS            |        112 |          3 |         11 |        126 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contents\Contents.jsx                                                                     | JavaScript JSX |        309 |         39 |         20 |        368 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contents\contentPagination\ContentPagination.jsx                                          | JavaScript JSX |        105 |          1 |         12 |        118 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contents\contentPagination\styles.module.css                                              | CSS            |         53 |          0 |         11 |         64 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contents\contents.module.css                                                              | CSS            |         87 |          3 |         16 |        106 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\customerSupport\CustomerSupport.jsx                                                       | JavaScript JSX |         79 |          0 |          7 |         86 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\customerSupport\customerSupport.module.css                                                | CSS            |        130 |          2 |         18 |        150 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\customerSupport\swiper.css                                                                | CSS            |         18 |          0 |          4 |         22 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\formLayout\FormLayout.jsx                                                                 | JavaScript JSX |         16 |          1 |          5 |         22 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\formLayout\formLayout.module.css                                                          | CSS            |         34 |          0 |          4 |         38 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\globalStyles.css                                                                          | CSS            |         33 |          0 |          8 |         41 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\radio\Radio.jsx                                                                           | JavaScript JSX |         15 |          0 |          4 |         19 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\select\Select.jsx                                                                         | JavaScript JSX |         43 |          0 |          4 |         47 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\select\select.module.css                                                                  | CSS            |         29 |          0 |          4 |         33 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\setWorkflowInDoc.module.css                                                               | CSS            |         70 |          0 |          9 |         79 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\checkErrors\CheckErrors.jsx                                                         | JavaScript JSX |      1,349 |         12 |         40 |      1,401 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\checkErrors\checkErrors.module.css                                                  | CSS            |         91 |          7 |         15 |        113 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\ConnectWorkFlowToDoc.jsx                                        | JavaScript JSX |        371 |         27 |         34 |        432 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\connectWorkFlowToDoc.module.css                                 | CSS            |        145 |         25 |         21 |        191 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\AssignCollapse.jsx                      | JavaScript JSX |        123 |          0 |         16 |        139 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\assignCollapse.module.css               | CSS            |         69 |          1 |         13 |         83 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\display\Display.jsx                     | JavaScript JSX |         60 |          0 |          6 |         66 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\location\Location.jsx                   | JavaScript JSX |        196 |         13 |         15 |        224 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\reminder\Reminder.jsx                   | JavaScript JSX |         56 |          0 |          6 |         62 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\time\Time.jsx                           | JavaScript JSX |        171 |          0 |         10 |        181 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignDocumentMap\AssignDocumentMap.jsx                | JavaScript JSX |        121 |          1 |         23 |        145 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\copiesOfDoc\CopiesOfDoc.jsx                            | JavaScript JSX |        205 |          3 |         27 |        235 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\copiesOfDoc\copiesOdDoc.module.css                     | CSS            |          4 |          0 |          1 |          5 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign\SelectMembersToAssign.jsx        | JavaScript JSX |      1,081 |         72 |         75 |      1,228 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign\assignTask\AssignTask.jsx        | JavaScript JSX |        252 |          0 |         20 |        272 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign\selectMembersToAssign.module.css | CSS            |         78 |          0 |         15 |         93 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\dropdown\Dropdown.jsx                                           | JavaScript JSX |         66 |          6 |         10 |         82 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\dropdown\dropdown.module.css                                    | CSS            |         58 |          1 |         11 |         70 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\ProcessDocument.jsx                                                 | JavaScript JSX |        417 |         97 |         66 |        580 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\components\GeneratedLinksModal\GeneratedLinksModal.jsx              | JavaScript JSX |        219 |          2 |         17 |        238 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\components\GeneratedLinksModal\style.module.css                     | CSS            |        116 |          2 |         19 |        137 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\components\SaveConfirmationModal\SaveConfirmationModal.jsx          | JavaScript JSX |         71 |          0 |          7 |         78 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\components\SaveConfirmationModal\style.module.css                   | CSS            |         94 |          0 |         14 |        108 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\processDocument.module.css                                          | CSS            |         38 |          0 |          7 |         45 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\utils\utils.js                                                      | JavaScript     |        175 |         18 |         29 |        222 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectDoc\SelectDoc.jsx                                                             | JavaScript JSX |        265 |          8 |         25 |        298 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectDoc\selectDoc.module.css                                                      | CSS            |         77 |         30 |         16 |        123 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectDoc\selectedDocuments\SelectedDocuments.jsx                                   | JavaScript JSX |         79 |          5 |         12 |         96 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectDoc\selectedDocuments\selectedDocuments.module.css                            | CSS            |         47 |          3 |          7 |         57 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectDoc\swiper.css                                                                | CSS            |         36 |          0 |          7 |         43 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectWorkflow\SelectWorkflow.jsx                                                   | JavaScript JSX |         78 |          2 |         15 |         95 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectWorkflow\selectWorkflow.module.css                                            | CSS            |         33 |          0 |          6 |         39 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectWorkflow\selectWorkflowBoxes\SelectWorkflowBoxes.jsx                          | JavaScript JSX |        377 |         11 |         32 |        420 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectWorkflow\selectWorkflowBoxes\infoBoxes.module.css                             | CSS            |         28 |         46 |         12 |         86 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectWorkflow\selectedWorkflow\SelectedWorkflows.jsx                               | JavaScript JSX |         83 |          0 |          9 |         92 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\selectWorkflow\selectedWorkflow\selectedWorkflows.module.css                        | CSS            |         26 |          0 |          3 |         29 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\setProcessName\ProcessName.jsx                                                      | JavaScript JSX |         41 |          0 |          8 |         49 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\setProcessName\ProcessName.module.css                                               | CSS            |         38 |          0 |          7 |         45 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\SetWorkflowInDoc.jsx                                                                         | JavaScript JSX |         69 |          2 |          8 |         79 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\assignButton\AssignButton.jsx                                                                | JavaScript JSX |         22 |          0 |          3 |         25 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\assignButton\assignButton.module.css                                                         | CSS            |         17 |          0 |          1 |         18 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\contentMapOfDoc\ContentMapOfDoc.jsx                                                          | JavaScript JSX |         76 |         38 |         14 |        128 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\contentMapOfDoc\contentMapOfDoc.module.css                                                   | CSS            |         79 |          1 |         10 |         90 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\contents\Contents.jsx                                                                        | JavaScript JSX |        178 |         35 |         13 |        226 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\contents\contents.module.css                                                                 | CSS            |         84 |          2 |         15 |        101 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\customerSupport\CustomerSupport.jsx                                                          | JavaScript JSX |         79 |          0 |          7 |         86 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\customerSupport\customerSupport.module.css                                                   | CSS            |        130 |          2 |         18 |        150 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\customerSupport\swiper.css                                                                   | CSS            |         18 |          0 |          4 |         22 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\formLayout\FormLayout.jsx                                                                    | JavaScript JSX |         16 |          1 |          5 |         22 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\formLayout\formLayout.module.css                                                             | CSS            |         35 |          0 |          4 |         39 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\globalStyles.css                                                                             | CSS            |         30 |          0 |          7 |         37 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\select\Select.jsx                                                                            | JavaScript JSX |         19 |          0 |          3 |         22 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\select\select.module.css                                                                     | CSS            |         16 |          0 |          1 |         17 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\setWorkflowInDoc.module.css                                                                  | CSS            |         49 |          0 |          7 |         56 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\checkErrors\CheckErrors.jsx                                                            | JavaScript JSX |         55 |          0 |          6 |         61 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\checkErrors\checkErrors.module.css                                                     | CSS            |         30 |          0 |          6 |         36 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\checkErrors\infoTable\InfoTable.jsx                                                    | JavaScript JSX |        248 |          1 |         16 |        265 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\checkErrors\infoTable\infoTable.module.css                                             | CSS            |         40 |          0 |          8 |         48 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\connectWebflowToDoc\ConnectWorkFlowToDoc.jsx                                           | JavaScript JSX |        181 |         17 |         25 |        223 |
